finish -2: Computing delta...
finish -1: Starting kernel launch from Python binding, s_q=4096, topk_length=2048
finish 0: Launching kernel...
finish 17: Kernel launch completed
[CTA 0] finish 1: Kernel started
[B7 SQ3 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B55 SQ27 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B23 SQ11 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B39 SQ19 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B5 SQ2 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B71 SQ35 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B141 SQ70 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B85 SQ42 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B21 SQ10 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B37 SQ18 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B139 SQ69 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B83 SQ41 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B19 SQ9 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B35 SQ17 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B137 SQ68 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B81 SQ40 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B17 SQ8 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B33 SQ16 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B51 SQ25 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B147 SQ73 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B145 SQ72 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B53 SQ26 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B97 SQ48 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B49 SQ24 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B99 SQ49 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B143 SQ71 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B95 SQ47 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B127 SQ63 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B69 SQ34 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B113 SQ56 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B125 SQ62 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B67 SQ33 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B111 SQ55 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B123 SQ61 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B65 SQ32 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
[B109 SQ54 CTA1] k=0 [WG3] step 3-pre: wait bar_s_ready phase=0
